period,draw_date,bonus_name,num1,num2,num3,num4,num5,num6,num7,num8,num9
101000007,2012/1/24,?亦??Ⅳ????,34,15,35,18,11,12,,,
101000007,2012/1/24,?亦??Ⅳ????,35,33,38,48,36,46,,,
101000007,2012/1/24,?亦??Ⅳ????,37,33,41,15,49,44,,,
101000007,2012/1/24,?亦??Ⅳ????,39,37,33,6,24,42,,,
101000007,2012/1/24,?亦??Ⅳ????,44,14,46,47,28,39,,,
101000007,2012/1/24,?亦??Ⅳ????,45,31,14,48,18,23,,,
101000007,2012/1/24,?亦??Ⅳ????,45,31,8,1,29,17,,,
101000007,2012/1/24,?亦??Ⅳ????,46,38,36,17,47,42,,,
101000007,2012/1/24,?亦??Ⅳ????,47,6,46,43,32,17,,,
101000008,2012/1/27,?亦??Ⅳ????,14,47,35,29,17,42,,,
101000008,2012/1/27,?亦??Ⅳ????,22,12,8,26,21,3,,,
101000008,2012/1/27,?亦??Ⅳ????,31,34,16,17,14,29,,,
101000008,2012/1/27,?亦??Ⅳ????,36,28,7,19,17,20,,,
101000008,2012/1/27,?亦??Ⅳ????,45,33,13,31,14,43,,,
102000014,2013/2/10,?亦??Ⅳ????,1,42,28,35,18,20,,,
102000014,2013/2/10,?亦??Ⅳ????,1,31,23,9,16,37,,,
102000014,2013/2/10,?亦??Ⅳ????,1,10,41,15,6,30,,,
102000014,2013/2/10,?亦??Ⅳ????,2,10,24,7,42,4,,,
102000014,2013/2/10,?亦??Ⅳ????,2,12,20,14,45,11,,,
102000014,2013/2/10,?亦??Ⅳ????,2,23,46,22,40,5,,,
102000014,2013/2/10,?亦??Ⅳ????,4,17,43,5,25,45,,,
102000014,2013/2/10,?亦??Ⅳ????,4,47,44,5,45,9,,,
102000014,2013/2/10,?亦??Ⅳ????,4,26,21,29,46,35,,,
102000014,2013/2/10,?亦??Ⅳ????,6,28,29,21,22,3,,,
102000014,2013/2/10,?亦??Ⅳ????,7,36,27,6,17,24,,,
102000014,2013/2/10,?亦??Ⅳ????,8,43,21,20,19,5,,,
102000014,2013/2/10,?亦??Ⅳ????,8,45,14,32,1,16,,,
102000014,2013/2/10,?亦??Ⅳ????,8,46,28,6,49,25,,,
102000014,2013/2/10,?亦??Ⅳ????,9,5,26,41,15,32,,,
102000014,2013/2/10,?亦??Ⅳ????,9,19,40,33,23,13,,,
102000014,2013/2/10,?亦??Ⅳ????,9,7,29,12,24,39,,,
102000014,2013/2/10,?亦??Ⅳ????,10,45,26,37,19,29,,,
102000014,2013/2/10,?亦??Ⅳ????,10,36,21,28,29,45,,,
102000014,2013/2/10,?亦??Ⅳ????,10,28,5,49,38,45,,,
102000014,2013/2/10,?亦??Ⅳ????,11,16,49,48,22,7,,,
102000014,2013/2/10,?亦??Ⅳ????,11,30,13,39,14,36,,,
102000014,2013/2/10,?亦??Ⅳ????,12,25,3,20,1,26,,,
102000014,2013/2/10,?亦??Ⅳ????,12,3,24,44,17,21,,,
102000014,2013/2/10,?亦??Ⅳ????,13,27,45,24,47,44,,,
102000014,2013/2/10,?亦??Ⅳ????,14,42,19,12,18,11,,,
102000014,2013/2/10,?亦??Ⅳ????,15,33,14,42,16,49,,,
102000014,2013/2/10,?亦??Ⅳ????,16,41,9,8,12,25,,,
102000014,2013/2/10,?亦??Ⅳ????,16,10,11,14,36,2,,,
102000014,2013/2/10,?亦??Ⅳ????,17,1,38,14,5,16,,,
102000014,2013/2/10,?亦??Ⅳ????,18,46,24,19,27,25,,,
102000014,2013/2/10,?亦??Ⅳ????,18,12,23,4,40,27,,,
102000014,2013/2/10,?亦??Ⅳ????,19,36,46,31,44,2,,,
102000014,2013/2/10,?亦??Ⅳ????,19,5,1,20,42,34,,,
102000014,2013/2/10,?亦??Ⅳ????,19,38,36,25,41,28,,,
102000014,2013/2/10,?亦??Ⅳ????,19,32,49,12,34,16,,,
102000014,2013/2/10,?亦??Ⅳ????,19,42,48,9,3,29,,,
102000014,2013/2/10,?亦??Ⅳ????,20,38,49,21,40,6,,,
102000014,2013/2/10,?亦??Ⅳ????,20,7,49,3,42,18,,,
102000014,2013/2/10,?亦??Ⅳ????,20,23,7,8,37,25,,,
102000014,2013/2/10,?亦??Ⅳ????,20,38,48,40,47,5,,,
102000014,2013/2/10,?亦??Ⅳ????,20,14,17,40,11,28,,,
102000014,2013/2/10,?亦??Ⅳ????,20,45,36,41,12,46,,,
102000014,2013/2/10,?亦??Ⅳ????,21,22,36,40,2,9,,,
102000014,2013/2/10,?亦??Ⅳ????,21,41,39,25,37,10,,,
102000014,2013/2/10,?亦??Ⅳ????,21,19,18,49,30,41,,,
102000014,2013/2/10,?亦??Ⅳ????,21,20,35,43,1,3,,,
102000014,2013/2/10,?亦??Ⅳ????,22,35,15,2,44,9,,,
102000014,2013/2/10,?亦??Ⅳ????,22,46,49,33,29,44,,,
102000014,2013/2/10,?亦??Ⅳ????,22,31,1,21,39,6,,,
102000014,2013/2/10,?亦??Ⅳ????,24,21,49,22,17,1,,,
102000014,2013/2/10,?亦??Ⅳ????,25,16,22,40,11,14,,,
102000014,2013/2/10,?亦??Ⅳ????,25,42,19,23,5,27,,,
102000014,2013/2/10,?亦??Ⅳ????,25,31,12,27,38,11,,,
102000014,2013/2/10,?亦??Ⅳ????,25,18,6,31,36,16,,,
102000014,2013/2/10,?亦??Ⅳ????,26,12,6,4,15,41,,,
102000014,2013/2/10,?亦??Ⅳ????,26,9,15,25,2,36,,,
102000014,2013/2/10,?亦??Ⅳ????,26,25,22,16,7,37,,,
102000014,2013/2/10,?亦??Ⅳ????,26,49,31,8,44,39,,,
102000014,2013/2/10,?亦??Ⅳ????,28,14,30,7,8,10,,,
102000014,2013/2/10,?亦??Ⅳ????,29,47,42,15,22,37,,,
102000014,2013/2/10,?亦??Ⅳ????,29,32,20,44,16,22,,,
102000014,2013/2/10,?亦??Ⅳ????,31,12,22,4,43,37,,,
102000014,2013/2/10,?亦??Ⅳ????,31,6,43,17,18,22,,,
102000014,2013/2/10,?亦??Ⅳ????,31,37,30,17,42,43,,,
102000014,2013/2/10,?亦??Ⅳ????,32,5,2,13,38,28,,,
102000014,2013/2/10,?亦??Ⅳ????,32,39,31,23,26,30,,,
102000014,2013/2/10,?亦??Ⅳ????,32,44,7,27,25,14,,,
102000014,2013/2/10,?亦??Ⅳ????,32,4,45,31,34,9,,,
102000014,2013/2/10,?亦??Ⅳ????,34,43,24,7,12,6,,,
102000014,2013/2/10,?亦??Ⅳ????,35,20,18,30,28,39,,,
102000014,2013/2/10,?亦??Ⅳ????,35,24,28,12,48,36,,,
102000014,2013/2/10,?亦??Ⅳ????,36,13,49,6,47,33,,,
102000014,2013/2/10,?亦??Ⅳ????,36,13,24,28,27,10,,,
102000014,2013/2/10,?亦??Ⅳ????,37,2,11,49,40,14,,,
102000014,2013/2/10,?亦??Ⅳ????,37,24,39,8,5,29,,,
102000014,2013/2/10,?亦??Ⅳ????,37,4,35,2,28,20,,,
102000014,2013/2/10,?亦??Ⅳ????,38,33,46,9,28,20,,,
102000014,2013/2/10,?亦??Ⅳ????,38,37,35,24,3,19,,,
102000014,2013/2/10,?亦??Ⅳ????,38,6,3,46,2,26,,,
102000014,2013/2/10,?亦??Ⅳ????,39,26,21,14,27,32,,,
102000014,2013/2/10,?亦??Ⅳ????,39,24,11,41,14,45,,,
102000014,2013/2/10,?亦??Ⅳ????,39,4,10,37,23,41,,,
102000014,2013/2/10,?亦??Ⅳ????,40,37,32,11,14,1,,,
102000014,2013/2/10,?亦??Ⅳ????,41,3,32,4,20,8,,,
102000014,2013/2/10,?亦??Ⅳ????,41,4,38,23,7,26,,,
102000014,2013/2/10,?亦??Ⅳ????,41,7,19,47,11,18,,,
102000014,2013/2/10,?亦??Ⅳ????,42,40,47,16,38,10,,,
102000014,2013/2/10,?亦??Ⅳ????,42,48,22,15,35,28,,,
102000014,2013/2/10,?亦??Ⅳ????,42,33,38,47,12,32,,,
102000014,2013/2/10,?亦??Ⅳ????,43,35,22,19,20,24,,,
102000014,2013/2/10,?亦??Ⅳ????,44,14,21,38,39,31,,,
102000014,2013/2/10,?亦??Ⅳ????,46,3,16,28,27,43,,,
102000014,2013/2/10,?亦??Ⅳ????,46,5,2,43,1,45,,,
102000014,2013/2/10,?亦??Ⅳ????,46,34,43,6,26,45,,,
102000014,2013/2/10,?亦??Ⅳ????,46,10,33,34,35,20,,,
102000014,2013/2/10,?亦??Ⅳ????,47,20,12,10,5,42,,,
102000014,2013/2/10,?亦??Ⅳ????,48,4,24,17,26,41,,,
102000014,2013/2/10,?亦??Ⅳ????,49,40,2,27,10,46,,,
102000014,2013/2/10,?亦??Ⅳ????,49,21,47,15,7,23,,,
102000015,2013/2/11,?亦??Ⅳ????,1,45,20,10,24,6,,,
102000015,2013/2/11,?亦??Ⅳ????,1,15,6,34,49,45,,,
